timestamp,decision,direction,15m_state,5m_state,total_evidence,bar_regime,efficiency
2026-08-24T19:49:00-05:00,PASS,SHORT,BULLISH,NEUTRAL,1,UNCERTAIN,0.22535211267605634
2026-08-24T20:08:00-05:00,TAKE,LONG,BULLISH,NEUTRAL,7,CHOP,0.11796982167352538
2026-08-24T20:18:00-05:00,TAKE,SHORT,TRANSITION,NEUTRAL,6,CHOP,0.02109090909090909
2026-08-24T20:29:00-05:00,TAKE,LONG,TRANSITION,NEUTRAL,4,CHOP,0.0329277022190408
2026-08-24T21:12:00-05:00,TAKE,SHORT,BEARISH,NEUTRAL,6,CHOP,0.056945642795513375
2026-08-24T21:19:00-05:00,TAKE,LONG,BULLISH,NEUTRAL,7,UNCERTAIN,0.03158769742310889
2026-08-24T21:50:00-05:00,TAKE,SHORT,BEARISH,NEUTRAL,6,UNCERTAIN,0.013689253935660506
2026-08-24T22:05:00-05:00,TAKE,LONG,BULLISH,BULLISH,8,CHOP,0.07741420590582601
2026-08-24T22:50:00-05:00,TAKE,SHORT,BULLISH,NEUTRAL,4,CHOP,0.052690582959641255
2026-08-24T22:57:00-05:00,TAKE,LONG,TRANSITION,NEUTRAL,5,CHOP,0.001091703056768559
2026-08-24T23:56:00-05:00,TAKE,SHORT,TRANSITION,NEUTRAL,6,CHOP,0.0405982905982906
2026-08-25T00:16:00-05:00,TAKE,LONG,BULLISH,BULLISH,7,UNCERTAIN,0.028906955736224028
2026-08-25T00:44:00-05:00,TAKE,SHORT,NEUTRAL,NEUTRAL,4,CHOP,0.0020855057351407717
2026-08-25T00:53:00-05:00,TAKE,LONG,BULLISH,BULLISH,8,CHOP,0.033846153846153845
2026-08-25T01:42:00-05:00,PASS,SHORT,BULLISH,BULLISH,2,CHOP,0.024342745861733205
2026-08-25T03:27:00-05:00,TAKE,LONG,BULLISH,BULLISH,7,CHOP,0.0959257349149046
2026-08-25T05:01:00-05:00,PASS,SHORT,BULLISH,NEUTRAL,1,CHOP,0.16974900924702774
2026-08-25T05:11:00-05:00,TAKE,LONG,BULLISH,NEUTRAL,6,UNCERTAIN,0.10331230283911672
2026-08-25T05:18:00-05:00,PASS,SHORT,BULLISH,NEUTRAL,1,UNCERTAIN,0.011637572734829594
2026-08-25T05:49:00-05:00,PASS,LONG,BEARISH,NEUTRAL,1,CHOP,0.12635869565217392
2026-08-25T05:59:00-05:00,TAKE,SHORT,BEARISH,NEUTRAL,7,CHOP,0.06133333333333333
2026-08-25T06:29:00-05:00,TAKE,LONG,BEARISH,NEUTRAL,4,UNCERTAIN,0.05965202982601491
2026-08-25T07:33:00-05:00,TAKE,SHORT,BEARISH,NEUTRAL,6,CHOP,0.09769094138543517
2026-08-25T08:34:00-05:00,TAKE,LONG,BULLISH,NEUTRAL,8,CHOP,0.10257705912076806
2026-08-25T08:54:00-05:00,TAKE,SHORT,TRANSITION,NEUTRAL,5,CHOP,0.027507163323782235
2026-08-25T09:50:00-05:00,WAIT,LONG,BEARISH,NEUTRAL,2,CHOP,0.04393939393939394
2026-08-25T10:01:00-05:00,TAKE,SHORT,NEUTRAL,NEUTRAL,6,CHOP,0.03282275711159737
2026-08-25T10:14:00-05:00,TAKE,LONG,NEUTRAL,NEUTRAL,4,CHOP,0.007684426229508197
2026-08-25T11:08:00-05:00,PASS,SHORT,BULLISH,BEARISH,1,CHOP,0.024709302325581394
2026-08-25T11:18:00-05:00,TAKE,LONG,BULLISH,NEUTRAL,7,CHOP,0.18645418326693228
2026-08-25T11:47:00-05:00,TAKE,SHORT,BEARISH,BEARISH,6,CHOP,0.05263157894736842
2026-08-25T13:09:00-05:00,PASS,LONG,BEARISH,BEARISH,-1,CHOP,0.08149779735682819
2026-08-25T14:02:00-05:00,WAIT,SHORT,BULLISH,BEARISH,2,CHOP,0.07213114754098361
2026-08-25T14:27:00-05:00,PASS,LONG,BEARISH,BEARISH,-2,CHOP,0.14020857473928158
2026-08-25T15:43:00-05:00,TAKE,SHORT,TRANSITION,NEUTRAL,4,CHOP,0.044293015332197615
2026-08-25T17:27:00-05:00,TAKE,LONG,BEARISH,NEUTRAL,4,CHOP,0.03576158940397351
2026-08-25T18:00:00-05:00,WAIT,LONG,BEARISH,NEUTRAL,2,CHOP,0.012698412698412698
2026-08-25T18:08:00-05:00,TAKE,SHORT,BEARISH,NEUTRAL,7,CHOP,0.05080213903743316
2026-08-25T20:54:00-05:00,TAKE,LONG,BULLISH,NEUTRAL,7,CHOP,0.06572769953051644
2026-08-25T22:25:00-05:00,TAKE,SHORT,NEUTRAL,BEARISH,5,CHOP,0.012448132780082987
2026-08-25T22:35:00-05:00,TAKE,LONG,BULLISH,NEUTRAL,5,CHOP,0.03729281767955801
2026-08-25T23:41:00-05:00,TAKE,SHORT,BEARISH,NEUTRAL,7,CHOP,0.06022408963585434
2026-08-26T00:11:00-05:00,TAKE,LONG,TRANSITION,BULLISH,5,CHOP,0.029712163416898793
2026-08-26T00:51:00-05:00,WAIT,SHORT,TRANSITION,NEUTRAL,3,CHOP,0.027283511269276393
2026-08-26T01:36:00-05:00,TAKE,LONG,BULLISH,NEUTRAL,7,CHOP,0.10102156640181612
2026-08-26T02:08:00-05:00,TAKE,SHORT,TRANSITION,BEARISH,5,UNCERTAIN,0.04010462074978204
2026-08-26T02:52:00-05:00,TAKE,LONG,NEUTRAL,NEUTRAL,5,CHOP,0.04788213627992634
2026-08-26T03:44:00-05:00,TAKE,SHORT,BULLISH,NEUTRAL,4,CHOP,0.12290969899665552
2026-08-26T04:43:00-05:00,TAKE,LONG,BEARISH,NEUTRAL,4,CHOP,0.0022002200220022
2026-08-26T05:02:00-05:00,TAKE,SHORT,BEARISH,BULLISH,6,CHOP,0.06005586592178771
2026-08-26T05:20:00-05:00,TAKE,LONG,NEUTRAL,NEUTRAL,4,UNCERTAIN,0.17005813953488372
2026-08-26T05:29:00-05:00,TAKE,SHORT,NEUTRAL,NEUTRAL,6,UNCERTAIN,0.17928286852589642
2026-08-26T05:38:00-05:00,TAKE,LONG,NEUTRAL,NEUTRAL,4,UNCERTAIN,0.1061130334486736
2026-08-26T06:40:00-05:00,TAKE,SHORT,BEARISH,NEUTRAL,7,UNCERTAIN,0.16395014381591563
2026-08-26T07:21:00-05:00,TAKE,LONG,BULLISH,NEUTRAL,7,CHOP,0.0026338893766461808
2026-08-26T07:35:00-05:00,TAKE,SHORT,BEARISH,NEUTRAL,7,CHOP,0.12639821029082773
2026-08-26T08:14:00-05:00,PASS,LONG,BEARISH,BEARISH,0,CHOP,0.016796640671865627
2026-08-26T09:08:00-05:00,TAKE,SHORT,NEUTRAL,BEARISH,5,CHOP,0.05784551437478351
2026-08-26T09:33:00-05:00,PASS,LONG,BEARISH,NEUTRAL,0,CHOP,0.2143864598025388
2026-08-26T10:12:00-05:00,PASS,SHORT,BULLISH,BULLISH,0,CHOP,0.1249182472204055
2026-08-26T10:40:00-05:00,TAKE,LONG,BULLISH,NEUTRAL,7,CHOP,0.005245901639344262
2026-08-26T10:58:00-05:00,TAKE,SHORT,BEARISH,NEUTRAL,7,CHOP,0.09369259032455603
2026-08-26T11:47:00-05:00,TAKE,LONG,NEUTRAL,NEUTRAL,7,CHOP,0.008539709649871904
2026-08-26T12:48:00-05:00,WAIT,SHORT,BULLISH,NEUTRAL,2,CHOP,0.09138110072689512
2026-08-26T12:55:00-05:00,TAKE,LONG,BULLISH,NEUTRAL,6,UNCERTAIN,0.12101910828025478
2026-08-26T13:26:00-05:00,TAKE,SHORT,BEARISH,NEUTRAL,4,UNCERTAIN,0.04312354312354312
2026-08-26T13:40:00-05:00,TAKE,LONG,BULLISH,BULLISH,6,CHOP,0.039673278879813305
2026-08-26T14:28:00-05:00,WAIT,SHORT,BULLISH,NEUTRAL,3,CHOP,0.05180921052631579
2026-08-26T15:02:00-05:00,TAKE,LONG,BULLISH,BULLISH,8,CHOP,0.031393067364290386
2026-08-26T15:25:00-05:00,WAIT,SHORT,BULLISH,NEUTRAL,2,CHOP,0.06937394247038917
2026-08-26T15:36:00-05:00,TAKE,LONG,BULLISH,NEUTRAL,7,CHOP,0.056096430227167364
2026-08-26T18:14:00-05:00,TAKE,SHORT,BEARISH,NEUTRAL,6,CHOP,0.12224938875305623
2026-08-26T18:45:00-05:00,TAKE,LONG,BULLISH,BULLISH,6,CHOP,0.12027972027972028
2026-08-26T19:03:00-05:00,TAKE,SHORT,BEARISH,BULLISH,4,CHOP,0.06951340615690169
2026-08-26T20:21:00-05:00,TAKE,LONG,NEUTRAL,BULLISH,4,CHOP,0.09107806691449814
2026-08-26T21:15:00-05:00,PASS,SHORT,BULLISH,NEUTRAL,1,CHOP,0.11388196176226101
2026-08-26T21:47:00-05:00,TAKE,LONG,BULLISH,NEUTRAL,7,CHOP,0.03632478632478633
2026-08-26T22:33:00-05:00,TAKE,SHORT,TRANSITION,NEUTRAL,5,UNCERTAIN,0.029556650246305417
2026-08-27T01:18:00-05:00,WAIT,LONG,TRANSITION,BEARISH,2,CHOP,0.06198347107438017
2026-08-27T01:50:00-05:00,PASS,SHORT,BULLISH,NEUTRAL,1,CHOP,0.16761041902604756
2026-08-27T02:01:00-05:00,TAKE,LONG,BULLISH,NEUTRAL,6,CHOP,0.11706783369803063
2026-08-27T02:44:00-05:00,TAKE,SHORT,TRANSITION,BEARISH,4,CHOP,0.11297440423654016
2026-08-27T02:53:00-05:00,TAKE,LONG,BULLISH,BEARISH,4,CHOP,0.012544802867383513
2026-08-27T03:38:00-05:00,PASS,SHORT,BULLISH,NEUTRAL,0,CHOP,0.09991742361684558
2026-08-27T03:48:00-05:00,TAKE,LONG,BULLISH,NEUTRAL,6,CHOP,0.17172464840858623
2026-08-27T04:04:00-05:00,TAKE,SHORT,BEARISH,NEUTRAL,7,CHOP,0.09903047091412742
2026-08-27T04:22:00-05:00,WAIT,LONG,BEARISH,NEUTRAL,3,CHOP,0.12684365781710916
2026-08-27T04:54:00-05:00,WAIT,SHORT,NEUTRAL,BULLISH,3,CHOP,0.043478260869565216
2026-08-27T05:10:00-05:00,WAIT,LONG,BEARISH,NEUTRAL,3,CHOP,0.058163265306122446
2026-08-27T05:17:00-05:00,TAKE,SHORT,BEARISH,NEUTRAL,7,CHOP,0.10850439882697947
2026-08-27T05:42:00-05:00,TAKE,LONG,TRANSITION,NEUTRAL,5,CHOP,0.002280501710376283
2026-08-27T06:27:00-05:00,TAKE,SHORT,BEARISH,NEUTRAL,6,CHOP,0.05517762660619804
2026-08-27T07:01:00-05:00,TAKE,LONG,NEUTRAL,NEUTRAL,5,UNCERTAIN,0.006557377049180328
2026-08-27T07:38:00-05:00,TAKE,SHORT,BEARISH,BEARISH,7,CHOP,0.06648936170212766
2026-08-27T08:09:00-05:00,TAKE,LONG,TRANSITION,NEUTRAL,4,CHOP,0.020865533230293665
2026-08-27T08:18:00-05:00,TAKE,SHORT,NEUTRAL,NEUTRAL,5,CHOP,0.054602184087363496
2026-08-27T08:38:00-05:00,TAKE,LONG,BULLISH,NEUTRAL,5,CHOP,0.1368498708963482
2026-08-27T08:49:00-05:00,TAKE,SHORT,BEARISH,NEUTRAL,8,CHOP,0.07132495164410058
2026-08-27T09:03:00-05:00,TAKE,LONG,BULLISH,NEUTRAL,7,UNCERTAIN,0.04263565891472868
2026-08-27T10:30:00-05:00,TAKE,SHORT,BEARISH,NEUTRAL,5,CHOP,0.08143322475570032
2026-08-27T11:03:00-05:00,TAKE,LONG,TRANSITION,BULLISH,5,CHOP,0.07932166301969365
2026-08-27T11:21:00-05:00,TAKE,SHORT,NEUTRAL,NEUTRAL,5,CHOP,0.01765860039241334
2026-08-27T11:32:00-05:00,TAKE,LONG,BULLISH,NEUTRAL,7,CHOP,0.009009009009009009
2026-08-27T12:50:00-05:00,TAKE,SHORT,BEARISH,NEUTRAL,7,CHOP,0.16
2026-08-27T13:35:00-05:00,WAIT,LONG,BEARISH,BULLISH,2,CHOP,0.09423728813559322
2026-08-27T15:07:00-05:00,PASS,SHORT,BULLISH,NEUTRAL,0,CHOP,0.11805555555555555
2026-08-27T15:53:00-05:00,TAKE,SHORT,BEARISH,NEUTRAL,8,CHOP,0.1335676625659051
2026-08-27T17:09:00-05:00,WAIT,LONG,BEARISH,NEUTRAL,3,CHOP,0.054764512595837894
2026-08-27T18:02:00-05:00,TAKE,SHORT,BEARISH,NEUTRAL,7,CHOP,0.034782608695652174
2026-08-27T18:54:00-05:00,TAKE,SHORT,BEARISH,NEUTRAL,6,UNCERTAIN,0.14937759336099585
2026-08-27T19:07:00-05:00,TAKE,LONG,BULLISH,NEUTRAL,8,CHOP,0.03299492385786802
2026-08-27T19:35:00-05:00,PASS,SHORT,BULLISH,NEUTRAL,1,CHOP,0.1360544217687075
2026-08-27T19:46:00-05:00,TAKE,LONG,BULLISH,NEUTRAL,6,CHOP,0.06448311156601842
2026-08-27T19:56:00-05:00,PASS,SHORT,BULLISH,NEUTRAL,1,CHOP,0.010146561443066516
2026-08-27T20:07:00-05:00,TAKE,LONG,BULLISH,NEUTRAL,6,CHOP,0.06330597889800703
2026-08-27T20:28:00-05:00,TAKE,SHORT,NEUTRAL,NEUTRAL,4,CHOP,0.020506634499396863
2026-08-27T20:52:00-05:00,TAKE,LONG,BULLISH,NEUTRAL,6,CHOP,0.004012036108324975
2026-08-27T21:36:00-05:00,TAKE,SHORT,BEARISH,NEUTRAL,6,CHOP,0.13458528951486698
2026-08-27T21:51:00-05:00,TAKE,LONG,NEUTRAL,NEUTRAL,4,UNCERTAIN,0.20211161387631976
2026-08-27T22:35:00-05:00,TAKE,SHORT,BEARISH,NEUTRAL,6,CHOP,0.026016260162601626
2026-08-27T22:51:00-05:00,WAIT,LONG,BEARISH,NEUTRAL,3,UNCERTAIN,0.13370473537604458
2026-08-27T23:06:00-05:00,TAKE,SHORT,BEARISH,NEUTRAL,6,CHOP,0.18058968058968058
2026-08-27T23:17:00-05:00,WAIT,LONG,NEUTRAL,NEUTRAL,3,CHOP,0.014945652173913044
2026-08-27T23:29:00-05:00,TAKE,SHORT,BEARISH,NEUTRAL,5,CHOP,0.0532724505327245
2026-08-28T00:29:00-05:00,PASS,LONG,BEARISH,NEUTRAL,1,CHOP,0.10410958904109589
2026-08-28T00:41:00-05:00,TAKE,SHORT,BEARISH,NEUTRAL,7,CHOP,0.09415121255349501
2026-08-28T01:20:00-05:00,TAKE,LONG,BEARISH,NEUTRAL,4,CHOP,0.06233062330623306
2026-08-28T02:02:00-05:00,PASS,SHORT,BULLISH,BULLISH,2,UNCERTAIN,0.11966701352757544
2026-08-28T02:20:00-05:00,TAKE,LONG,NEUTRAL,NEUTRAL,4,CHOP,0.04032258064516129
2026-08-28T02:31:00-05:00,TAKE,SHORT,BEARISH,BEARISH,7,CHOP,0.08748728382502544
2026-08-28T03:30:00-05:00,TAKE,LONG,BULLISH,NEUTRAL,7,CHOP,0.0064516129032258064
2026-08-28T04:07:00-05:00,TAKE,SHORT,BULLISH,NEUTRAL,5,CHOP,0.1001150747986191
2026-08-28T04:23:00-05:00,TAKE,LONG,BULLISH,NEUTRAL,7,CHOP,0.02696078431372549
2026-08-28T04:58:00-05:00,TAKE,SHORT,BEARISH,NEUTRAL,7,CHOP,0.0583596214511041
2026-08-28T05:27:00-05:00,TAKE,LONG,BULLISH,NEUTRAL,7,CHOP,0.007407407407407408
2026-08-28T06:35:00-05:00,TAKE,SHORT,NEUTRAL,NEUTRAL,5,CHOP,0.001314060446780552
2026-08-28T06:46:00-05:00,PASS,LONG,BEARISH,NEUTRAL,1,CHOP,0.03656821378340366
2026-08-28T06:54:00-05:00,TAKE,SHORT,BEARISH,NEUTRAL,8,CHOP,0.14086471408647142
2026-08-28T07:09:00-05:00,TAKE,LONG,BULLISH,BULLISH,7,CHOP,0.050505050505050504
2026-08-28T08:30:00-05:00,WAIT,SHORT,BULLISH,NEUTRAL,2,CHOP,0.14609375
2026-08-28T08:38:00-05:00,TAKE,LONG,BULLISH,NEUTRAL,6,CHOP,0.014594594594594595
2026-08-28T08:48:00-05:00,PASS,SHORT,NEUTRAL,BULLISH,1,CHOP,0.062328498627989025
2026-08-28T09:24:00-05:00,TAKE,LONG,TRANSITION,NEUTRAL,5,UNCERTAIN,0.009402914903620122
2026-08-28T10:38:00-05:00,TAKE,SHORT,BEARISH,NEUTRAL,6,CHOP,0.07381837493361657
2026-08-28T11:47:00-05:00,WAIT,LONG,BEARISH,NEUTRAL,3,CHOP,0.014089729328883945
2026-08-28T11:56:00-05:00,TAKE,SHORT,TRANSITION,NEUTRAL,4,CHOP,0.028525512253917237
2026-08-28T12:36:00-05:00,WAIT,LONG,NEUTRAL,BEARISH,2,CHOP,0.12077043206663196
2026-08-28T13:14:00-05:00,TAKE,SHORT,NEUTRAL,BEARISH,5,CHOP,0.013392857142857142
2026-08-28T14:07:00-05:00,WAIT,LONG,NEUTRAL,BEARISH,3,CHOP,0.039873417721518985
