date,opportunity_id,direction,1m_signal_count,first_1m_time,5m_arm_time,5m_take_time,classification,entry_difference,meaningful_move,notes
2020-06-11,OPP_00938257_SHORT,SHORT,2,2020-06-11 02:41:00-05:00,2020-06-11 03:00:00-05:00,2020-06-11 03:15:00-05:00,AMBIGUOUS_MATCH,,,
2020-06-11,OPP_00938281_LONG,LONG,1,2020-06-11 03:05:00-05:00,,,1M_ONLY,,,
2020-06-11,OPP_00938295_SHORT,SHORT,5,2020-06-11 03:19:00-05:00,,,1M_ONLY,,,
2020-06-11,OPP_00938352_LONG,LONG,5,2020-06-11 04:16:00-05:00,,,1M_ONLY,,,
2020-06-11,OPP_00938402_SHORT,SHORT,8,2020-06-11 05:06:00-05:00,2020-06-11 05:10:00-05:00,2020-06-11 05:15:00-05:00,SAME_OPPORTUNITY,,,
2020-06-11,OPP_00938488_LONG,LONG,2,2020-06-11 06:32:00-05:00,,,1M_ONLY,,,
2020-06-11,OPP_00938502_SHORT,SHORT,1,2020-06-11 06:46:00-05:00,,,1M_ONLY,,,
2020-06-11,OPP_00938512_LONG,LONG,2,2020-06-11 06:56:00-05:00,,,1M_ONLY,,,
2020-06-11,OPP_00938535_SHORT,SHORT,3,2020-06-11 07:19:00-05:00,2020-06-11 07:20:00-05:00,2020-06-11 07:25:00-05:00,SAME_OPPORTUNITY,,,
2020-06-11,OPP_00938568_LONG,LONG,1,2020-06-11 07:52:00-05:00,,,1M_ONLY,,,
2020-06-11,OPP_00938608_SHORT,SHORT,1,2020-06-11 08:32:00-05:00,2020-06-11 07:45:00-05:00,2020-06-11 08:25:00-05:00,SAME_OPPORTUNITY,,,
2020-06-11,OPP_00938623_LONG,LONG,2,2020-06-11 08:47:00-05:00,,,1M_ONLY,,,
2020-06-11,OPP_00938657_SHORT,SHORT,1,2020-06-11 09:21:00-05:00,,,1M_ONLY,,,
2020-06-11,OPP_00938669_LONG,LONG,2,2020-06-11 09:33:00-05:00,,,1M_ONLY,,,
2020-06-11,OPP_00938683_SHORT,SHORT,4,2020-06-11 09:47:00-05:00,2020-06-11 10:45:00-05:00,2020-06-11 10:50:00-05:00,AMBIGUOUS_MATCH,,,
2020-06-11,OPP_00938751_LONG,LONG,1,2020-06-11 10:55:00-05:00,,,1M_ONLY,,,
2020-06-11,OPP_00938764_SHORT,SHORT,5,2020-06-11 11:08:00-05:00,2020-06-11 11:20:00-05:00,2020-06-11 11:25:00-05:00,SAME_OPPORTUNITY,,,
2021-01-27,OPP_01157821_SHORT,SHORT,3,2021-01-27 00:53:00-06:00,,,1M_ONLY,,,
2021-01-27,OPP_01157865_LONG,LONG,1,2021-01-27 01:37:00-06:00,,,1M_ONLY,,,
2021-01-27,OPP_01157872_SHORT,SHORT,5,2021-01-27 01:44:00-06:00,,,1M_ONLY,,,
2021-01-27,OPP_01157922_LONG,LONG,1,2021-01-27 02:34:00-06:00,,,1M_ONLY,,,
2021-01-27,OPP_01157963_LONG,LONG,1,2021-01-27 03:15:00-06:00,,,1M_ONLY,,,
2021-01-27,OPP_01157981_SHORT,SHORT,3,2021-01-27 03:33:00-06:00,2021-01-27 02:55:00-06:00,2021-01-27 03:30:00-06:00,SAME_OPPORTUNITY,,,
2021-01-27,OPP_01158027_LONG,LONG,1,2021-01-27 04:19:00-06:00,,,1M_ONLY,,,
2021-01-27,OPP_01158035_SHORT,SHORT,14,2021-01-27 04:27:00-06:00,2021-01-27 05:45:00-06:00,2021-01-27 05:50:00-06:00,SAME_OPPORTUNITY,,,
2021-01-27,OPP_01158194_LONG,LONG,2,2021-01-27 07:06:00-06:00,,,1M_ONLY,,,
2021-01-27,OPP_01158221_SHORT,SHORT,1,2021-01-27 07:33:00-06:00,2021-01-27 07:35:00-06:00,2021-01-27 07:40:00-06:00,AMBIGUOUS_MATCH,,,
2021-01-27,OPP_01158234_LONG,LONG,1,2021-01-27 07:46:00-06:00,,,1M_ONLY,,,
2021-01-27,OPP_01158254_SHORT,SHORT,1,2021-01-27 08:06:00-06:00,2021-01-27 08:05:00-06:00,2021-01-27 08:10:00-06:00,AMBIGUOUS_MATCH,,,
2021-01-27,OPP_01158265_LONG,LONG,1,2021-01-27 08:17:00-06:00,,,1M_ONLY,,,
2021-01-27,OPP_01158279_SHORT,SHORT,2,2021-01-27 08:31:00-06:00,,,1M_ONLY,,,
2021-01-27,OPP_01158305_LONG,LONG,4,2021-01-27 08:57:00-06:00,,,1M_ONLY,,,
2021-01-27,OPP_01158369_SHORT,SHORT,6,2021-01-27 10:01:00-06:00,2021-01-27 09:45:00-06:00,2021-01-27 10:00:00-06:00,SAME_OPPORTUNITY,,,
2021-01-27,OPP_01158438_LONG,LONG,6,2021-01-27 11:10:00-06:00,2021-01-27 11:25:00-06:00,2021-01-27 11:30:00-06:00,SAME_OPPORTUNITY,,,
2021-01-27,OPP_01158523_SHORT,SHORT,1,2021-01-27 12:35:00-06:00,,,1M_ONLY,,,
2021-01-27,OPP_01158539_LONG,LONG,2,2021-01-27 12:51:00-06:00,,,1M_ONLY,,,
2021-01-27,OPP_01158561_SHORT,SHORT,7,2021-01-27 13:13:00-06:00,,,1M_ONLY,,,
2021-09-20,OPP_01386573_SHORT,SHORT,7,2021-09-20 00:39:00-05:00,2021-09-20 01:35:00-05:00,2021-09-20 01:40:00-05:00,AMBIGUOUS_MATCH,,,
2021-09-20,OPP_01386651_LONG,LONG,1,2021-09-20 01:57:00-05:00,,,1M_ONLY,,,
2021-09-20,OPP_01386661_SHORT,SHORT,3,2021-09-20 02:07:00-05:00,2021-09-20 02:10:00-05:00,2021-09-20 02:15:00-05:00,AMBIGUOUS_MATCH,,,
2021-09-20,OPP_01386687_LONG,LONG,1,2021-09-20 02:33:00-05:00,,,1M_ONLY,,,
2021-09-20,OPP_01386700_SHORT,SHORT,3,2021-09-20 02:46:00-05:00,2021-09-20 03:00:00-05:00,2021-09-20 03:05:00-05:00,SAME_OPPORTUNITY,,,
2021-09-20,OPP_01386756_SHORT,SHORT,1,2021-09-20 03:42:00-05:00,,,1M_ONLY,,,
2021-09-20,OPP_01386765_LONG,LONG,2,2021-09-20 03:51:00-05:00,,,1M_ONLY,,,
2021-09-20,OPP_01386792_SHORT,SHORT,1,2021-09-20 04:18:00-05:00,2021-09-20 04:05:00-05:00,2021-09-20 04:10:00-05:00,AMBIGUOUS_MATCH,,,
2021-09-20,OPP_01386803_LONG,LONG,1,2021-09-20 04:29:00-05:00,,,1M_ONLY,,,
2021-09-20,OPP_01386814_SHORT,SHORT,1,2021-09-20 04:40:00-05:00,,,1M_ONLY,,,
2021-09-20,OPP_01386835_LONG,LONG,4,2021-09-20 05:01:00-05:00,,,1M_ONLY,,,
2021-09-20,OPP_01386887_SHORT,SHORT,10,2021-09-20 05:53:00-05:00,2021-09-20 04:55:00-05:00,2021-09-20 05:50:00-05:00,SAME_OPPORTUNITY,,,
2021-09-20,OPP_01387007_LONG,LONG,4,2021-09-20 07:53:00-05:00,,,1M_ONLY,,,
2021-09-20,OPP_01387064_SHORT,SHORT,4,2021-09-20 08:50:00-05:00,2021-09-20 08:00:00-05:00,2021-09-20 08:25:00-05:00,SAME_OPPORTUNITY,,,
2021-09-20,OPP_01387122_LONG,LONG,3,2021-09-20 09:48:00-05:00,,,1M_ONLY,,,
2021-09-20,OPP_01387169_SHORT,SHORT,7,2021-09-20 10:35:00-05:00,2021-09-20 10:00:00-05:00,2021-09-20 10:05:00-05:00,SAME_OPPORTUNITY,,,
2021-09-20,OPP_01387270_LONG,LONG,2,2021-09-20 12:16:00-05:00,,,1M_ONLY,,,
2021-09-20,OPP_01387298_SHORT,SHORT,6,2021-09-20 12:44:00-05:00,2021-09-20 12:50:00-05:00,2021-09-20 12:55:00-05:00,SAME_OPPORTUNITY,,,
2021-09-20,OPP_01387374_LONG,LONG,1,2021-09-20 14:00:00-05:00,,,1M_ONLY,,,
2021-09-20,OPP_01387385_SHORT,SHORT,1,2021-09-20 14:11:00-05:00,,,1M_ONLY,,,
2022-01-24,OPP_01508640_SHORT,SHORT,1,2022-01-24 00:00:00-06:00,,,1M_ONLY,,,
2022-01-24,OPP_01508647_LONG,LONG,3,2022-01-24 00:07:00-06:00,,,1M_ONLY,,,
2022-01-24,OPP_01508680_SHORT,SHORT,4,2022-01-24 00:40:00-06:00,,,1M_ONLY,,,
2022-01-24,OPP_01508728_LONG,LONG,5,2022-01-24 01:28:00-06:00,2022-01-24 01:25:00-06:00,2022-01-24 01:55:00-06:00,SAME_OPPORTUNITY,,,
2022-01-24,OPP_01508802_SHORT,SHORT,6,2022-01-24 02:42:00-06:00,,,1M_ONLY,,,
2022-01-24,OPP_01508871_LONG,LONG,1,2022-01-24 03:51:00-06:00,,,1M_ONLY,,,
2022-01-24,OPP_01508887_SHORT,SHORT,4,2022-01-24 04:07:00-06:00,,,1M_ONLY,,,
2022-01-24,OPP_01508929_LONG,LONG,3,2022-01-24 04:49:00-06:00,2022-01-24 04:50:00-06:00,2022-01-24 04:55:00-06:00,SAME_OPPORTUNITY,,,
2022-01-24,OPP_01508994_SHORT,SHORT,12,2022-01-24 05:54:00-06:00,,,1M_ONLY,,,
2022-01-24,OPP_01509137_LONG,LONG,3,2022-01-24 08:17:00-06:00,,,1M_ONLY,,,
2022-01-24,OPP_01509167_SHORT,SHORT,4,2022-01-24 08:47:00-06:00,2022-01-24 08:40:00-06:00,2022-01-24 08:45:00-06:00,SAME_OPPORTUNITY,,,
2022-01-24,OPP_01509212_LONG,LONG,1,2022-01-24 09:32:00-06:00,,,1M_ONLY,,,
2022-01-24,OPP_01509227_SHORT,SHORT,3,2022-01-24 09:47:00-06:00,2022-01-24 10:00:00-06:00,2022-01-24 10:05:00-06:00,AMBIGUOUS_MATCH,,,
2022-01-24,OPP_01509269_LONG,LONG,1,2022-01-24 10:29:00-06:00,,,1M_ONLY,,,
2022-01-24,OPP_01509276_SHORT,SHORT,1,2022-01-24 10:36:00-06:00,2022-01-24 10:50:00-06:00,2022-01-24 10:55:00-06:00,AMBIGUOUS_MATCH,,,
2022-01-24,OPP_01509294_LONG,LONG,1,2022-01-24 10:54:00-06:00,,,1M_ONLY,,,
2022-01-24,OPP_01509303_SHORT,SHORT,3,2022-01-24 11:03:00-06:00,2022-01-24 11:15:00-06:00,2022-01-24 11:20:00-06:00,SAME_OPPORTUNITY,,,
2022-01-24,OPP_01509347_LONG,LONG,9,2022-01-24 11:47:00-06:00,,,1M_ONLY,,,
2022-01-24,OPP_01509439_SHORT,SHORT,2,2022-01-24 13:19:00-06:00,2022-01-24 12:25:00-06:00,2022-01-24 12:40:00-06:00,DIRECTION_DISAGREEMENT,,,
2022-01-24,OPP_01509471_LONG,LONG,8,2022-01-24 13:51:00-06:00,2022-01-24 14:10:00-06:00,2022-01-24 14:15:00-06:00,SAME_OPPORTUNITY,,,
2022-06-16,OPP_01648942_LONG,LONG,1,2022-06-16 00:30:00-05:00,,,1M_ONLY,,,
2022-06-16,OPP_01648957_SHORT,SHORT,10,2022-06-16 00:45:00-05:00,2022-06-16 01:05:00-05:00,2022-06-16 01:10:00-05:00,SAME_OPPORTUNITY,,,
2022-06-16,OPP_01649092_LONG,LONG,1,2022-06-16 03:00:00-05:00,,,1M_ONLY,,,
2022-06-16,OPP_01649132_SHORT,SHORT,3,2022-06-16 03:40:00-05:00,2022-06-16 03:55:00-05:00,2022-06-16 04:00:00-05:00,AMBIGUOUS_MATCH,,,
2022-06-16,OPP_01649168_LONG,LONG,1,2022-06-16 04:16:00-05:00,,,1M_ONLY,,,
2022-06-16,OPP_01649184_SHORT,SHORT,1,2022-06-16 04:32:00-05:00,2022-06-16 04:35:00-05:00,2022-06-16 04:40:00-05:00,SAME_OPPORTUNITY,,,
2022-06-16,OPP_01649210_LONG,LONG,2,2022-06-16 04:58:00-05:00,,,1M_ONLY,,,
2022-06-16,OPP_01649235_SHORT,SHORT,1,2022-06-16 05:23:00-05:00,2022-06-16 05:20:00-05:00,2022-06-16 05:25:00-05:00,AMBIGUOUS_MATCH,,,
2022-06-16,OPP_01649254_LONG,LONG,1,2022-06-16 05:42:00-05:00,,,1M_ONLY,,,
2022-06-16,OPP_01649266_SHORT,SHORT,1,2022-06-16 05:54:00-05:00,,,1M_ONLY,,,
2022-06-16,OPP_01649273_LONG,LONG,2,2022-06-16 06:01:00-05:00,,,1M_ONLY,,,
2022-06-16,OPP_01649306_SHORT,SHORT,2,2022-06-16 06:34:00-05:00,,,1M_ONLY,,,
2022-06-16,OPP_01649337_LONG,LONG,1,2022-06-16 07:05:00-05:00,,,1M_ONLY,,,
2022-06-16,OPP_01649350_SHORT,SHORT,1,2022-06-16 07:18:00-05:00,,,1M_ONLY,,,
2022-06-16,OPP_01649357_LONG,LONG,2,2022-06-16 07:25:00-05:00,,,1M_ONLY,,,
2022-06-16,OPP_01649378_SHORT,SHORT,7,2022-06-16 07:46:00-05:00,2022-06-16 07:45:00-05:00,2022-06-16 07:55:00-05:00,SAME_OPPORTUNITY,,,
2022-06-16,OPP_01649472_LONG,LONG,1,2022-06-16 09:20:00-05:00,,,1M_ONLY,,,
2022-06-16,OPP_01649483_SHORT,SHORT,2,2022-06-16 09:31:00-05:00,,,1M_ONLY,,,
2022-06-16,OPP_01649507_LONG,LONG,3,2022-06-16 09:55:00-05:00,,,1M_ONLY,,,
2022-06-16,OPP_01649557_SHORT,SHORT,2,2022-06-16 10:45:00-05:00,2022-06-16 10:50:00-05:00,2022-06-16 10:55:00-05:00,SAME_OPPORTUNITY,,,
2023-03-13,OPP_01909427_LONG,LONG,2,2023-03-13 00:02:00-05:00,2023-03-12 23:20:00-05:00,2023-03-12 23:45:00-05:00,SAME_OPPORTUNITY,,,
2023-03-13,OPP_01909460_SHORT,SHORT,2,2023-03-13 00:35:00-05:00,,,1M_ONLY,,,
2023-03-13,OPP_01909495_LONG,LONG,1,2023-03-13 01:10:00-05:00,,,1M_ONLY,,,
2023-03-13,OPP_01909502_SHORT,SHORT,2,2023-03-13 01:17:00-05:00,2023-03-13 00:40:00-05:00,2023-03-13 01:30:00-05:00,AMBIGUOUS_MATCH,,,
2023-03-13,OPP_01909538_LONG,LONG,1,2023-03-13 01:53:00-05:00,2023-03-13 01:50:00-05:00,2023-03-13 01:55:00-05:00,SAME_OPPORTUNITY,,,
2023-03-13,OPP_01909546_SHORT,SHORT,3,2023-03-13 02:01:00-05:00,,,1M_ONLY,,,
2023-03-13,OPP_01909585_LONG,LONG,1,2023-03-13 02:40:00-05:00,,,1M_ONLY,,,
2023-03-13,OPP_01909600_SHORT,SHORT,8,2023-03-13 02:55:00-05:00,2023-03-13 03:45:00-05:00,2023-03-13 03:50:00-05:00,SAME_OPPORTUNITY,,,
2023-03-13,OPP_01909709_LONG,LONG,1,2023-03-13 04:44:00-05:00,,,1M_ONLY,,,
2023-03-13,OPP_01909720_SHORT,SHORT,2,2023-03-13 04:55:00-05:00,2023-03-13 05:05:00-05:00,2023-03-13 05:10:00-05:00,AMBIGUOUS_MATCH,,,
2023-03-13,OPP_01909751_LONG,LONG,1,2023-03-13 05:26:00-05:00,,,1M_ONLY,,,
2023-03-13,OPP_01909761_SHORT,SHORT,1,2023-03-13 05:36:00-05:00,,,1M_ONLY,,,
2023-03-13,OPP_01909778_LONG,LONG,2,2023-03-13 05:53:00-05:00,,,1M_ONLY,,,
2023-03-13,OPP_01909805_SHORT,SHORT,2,2023-03-13 06:20:00-05:00,,,1M_ONLY,,,
2023-03-13,OPP_01909834_LONG,LONG,1,2023-03-13 06:49:00-05:00,,,1M_ONLY,,,
2023-03-13,OPP_01909846_SHORT,SHORT,5,2023-03-13 07:01:00-05:00,,,1M_ONLY,,,
2023-03-13,OPP_01909914_LONG,LONG,1,2023-03-13 08:09:00-05:00,2023-03-13 08:05:00-05:00,2023-03-13 08:10:00-05:00,SAME_OPPORTUNITY,,,
2023-03-13,OPP_01909942_SHORT,SHORT,2,2023-03-13 08:37:00-05:00,,,1M_ONLY,,,
2023-03-13,OPP_01909960_LONG,LONG,3,2023-03-13 08:55:00-05:00,,,1M_ONLY,,,
2023-03-13,OPP_01909993_SHORT,SHORT,2,2023-03-13 09:28:00-05:00,2023-03-13 08:40:00-05:00,2023-03-13 09:25:00-05:00,SAME_OPPORTUNITY,,,
2023-10-27,OPP_02134051_LONG,LONG,4,2023-10-27 00:28:00-05:00,2023-10-27 01:00:00-05:00,2023-10-27 01:05:00-05:00,SAME_OPPORTUNITY,,,
2023-10-27,OPP_02134105_SHORT,SHORT,6,2023-10-27 01:22:00-05:00,,,1M_ONLY,,,
2023-10-27,OPP_02134168_LONG,LONG,3,2023-10-27 02:25:00-05:00,2023-10-27 02:25:00-05:00,2023-10-27 02:35:00-05:00,SAME_OPPORTUNITY,,,
2023-10-27,OPP_02134209_SHORT,SHORT,1,2023-10-27 03:06:00-05:00,,,1M_ONLY,,,
2023-10-27,OPP_02134219_LONG,LONG,5,2023-10-27 03:16:00-05:00,2023-10-27 03:40:00-05:00,2023-10-27 03:45:00-05:00,SAME_OPPORTUNITY,,,
2023-10-27,OPP_02134289_SHORT,SHORT,3,2023-10-27 04:26:00-05:00,,,1M_ONLY,,,
2023-10-27,OPP_02134323_LONG,LONG,3,2023-10-27 05:00:00-05:00,2023-10-27 04:50:00-05:00,2023-10-27 05:00:00-05:00,SAME_OPPORTUNITY,,,
2023-10-27,OPP_02134372_SHORT,SHORT,6,2023-10-27 05:49:00-05:00,,,1M_ONLY,,,
2023-10-27,OPP_02134449_LONG,LONG,2,2023-10-27 07:06:00-05:00,,,1M_ONLY,,,
2023-10-27,OPP_02134481_SHORT,SHORT,1,2023-10-27 07:38:00-05:00,,,1M_ONLY,,,
2023-10-27,OPP_02134490_LONG,LONG,3,2023-10-27 07:47:00-05:00,,,1M_ONLY,,,
2023-10-27,OPP_02134516_SHORT,SHORT,3,2023-10-27 08:13:00-05:00,2023-10-27 07:40:00-05:00,2023-10-27 08:15:00-05:00,SAME_OPPORTUNITY,,,
2023-10-27,OPP_02134546_LONG,LONG,1,2023-10-27 08:43:00-05:00,,,1M_ONLY,,,
2023-10-27,OPP_02134561_SHORT,SHORT,1,2023-10-27 08:58:00-05:00,,,1M_ONLY,,,
2023-10-27,OPP_02134576_LONG,LONG,2,2023-10-27 09:13:00-05:00,,,1M_ONLY,,,
2023-10-27,OPP_02134601_SHORT,SHORT,1,2023-10-27 09:38:00-05:00,2023-10-27 09:05:00-05:00,2023-10-27 09:25:00-05:00,SAME_OPPORTUNITY,,,
2023-10-27,OPP_02134618_LONG,LONG,4,2023-10-27 09:55:00-05:00,2023-10-27 09:50:00-05:00,2023-10-27 09:55:00-05:00,SAME_OPPORTUNITY,,,
2023-10-27,OPP_02134657_SHORT,SHORT,2,2023-10-27 10:34:00-05:00,,,1M_ONLY,,,
2023-10-27,OPP_02134679_LONG,LONG,2,2023-10-27 10:56:00-05:00,,,1M_ONLY,,,
2023-10-27,OPP_02134709_SHORT,SHORT,10,2023-10-27 11:26:00-05:00,2023-10-27 12:45:00-05:00,2023-10-27 12:50:00-05:00,SAME_OPPORTUNITY,,,
2024-04-15,OPP_02295903_SHORT,SHORT,2,2024-04-15 00:26:00-05:00,,,1M_ONLY,,,
2024-04-15,OPP_02295935_LONG,LONG,3,2024-04-15 00:58:00-05:00,2024-04-15 00:50:00-05:00,2024-04-15 00:55:00-05:00,SAME_OPPORTUNITY,,,
2024-04-15,OPP_02295971_SHORT,SHORT,1,2024-04-15 01:34:00-05:00,,,1M_ONLY,,,
2024-04-15,OPP_02295988_LONG,LONG,1,2024-04-15 01:51:00-05:00,2024-04-15 02:05:00-05:00,2024-04-15 02:10:00-05:00,AMBIGUOUS_MATCH,,,
2024-04-15,OPP_02295995_SHORT,SHORT,1,2024-04-15 01:58:00-05:00,,,1M_ONLY,,,
2024-04-15,OPP_02296016_LONG,LONG,1,2024-04-15 02:19:00-05:00,,,1M_ONLY,,,
2024-04-15,OPP_02296023_SHORT,SHORT,2,2024-04-15 02:26:00-05:00,,,1M_ONLY,,,
2024-04-15,OPP_02296047_LONG,LONG,1,2024-04-15 02:50:00-05:00,2024-04-15 02:45:00-05:00,2024-04-15 02:50:00-05:00,AMBIGUOUS_MATCH,,,
2024-04-15,OPP_02296060_SHORT,SHORT,1,2024-04-15 03:03:00-05:00,,,1M_ONLY,,,
2024-04-15,OPP_02296067_LONG,LONG,4,2024-04-15 03:10:00-05:00,,,1M_ONLY,,,
2024-04-15,OPP_02296135_SHORT,SHORT,2,2024-04-15 04:18:00-05:00,,,1M_ONLY,,,
2024-04-15,OPP_02296161_LONG,LONG,1,2024-04-15 04:44:00-05:00,2024-04-15 04:05:00-05:00,2024-04-15 04:35:00-05:00,AMBIGUOUS_MATCH,,,
2024-04-15,OPP_02296170_SHORT,SHORT,1,2024-04-15 04:53:00-05:00,,,1M_ONLY,,,
2024-04-15,OPP_02296178_LONG,LONG,1,2024-04-15 05:01:00-05:00,,,1M_ONLY,,,
2024-04-15,OPP_02296190_SHORT,SHORT,2,2024-04-15 05:13:00-05:00,2024-04-15 05:10:00-05:00,2024-04-15 05:20:00-05:00,SAME_OPPORTUNITY,,,
2024-04-15,OPP_02296210_LONG,LONG,2,2024-04-15 05:33:00-05:00,2024-04-15 05:55:00-05:00,2024-04-15 06:05:00-05:00,AMBIGUOUS_MATCH,,,
2024-04-15,OPP_02296235_SHORT,SHORT,2,2024-04-15 05:58:00-05:00,,,1M_ONLY,,,
2024-04-15,OPP_02296259_LONG,LONG,3,2024-04-15 06:22:00-05:00,2024-04-15 06:25:00-05:00,2024-04-15 06:30:00-05:00,SAME_OPPORTUNITY,,,
2024-04-15,OPP_02296314_LONG,LONG,3,2024-04-15 07:17:00-05:00,2024-04-15 07:25:00-05:00,2024-04-15 07:30:00-05:00,AMBIGUOUS_MATCH,,,
2024-04-15,OPP_02296345_SHORT,SHORT,1,2024-04-15 07:48:00-05:00,,,1M_ONLY,,,
2024-07-11,OPP_02381839_LONG,LONG,3,2024-07-11 00:02:00-05:00,2024-07-10 23:50:00-05:00,2024-07-10 23:55:00-05:00,SAME_OPPORTUNITY,,,
2024-07-11,OPP_02381882_SHORT,SHORT,2,2024-07-11 00:45:00-05:00,,,1M_ONLY,,,
2024-07-11,OPP_02381901_LONG,LONG,1,2024-07-11 01:04:00-05:00,2024-07-11 01:15:00-05:00,2024-07-11 01:20:00-05:00,AMBIGUOUS_MATCH,,,
2024-07-11,OPP_02381910_SHORT,SHORT,1,2024-07-11 01:13:00-05:00,,,1M_ONLY,,,
2024-07-11,OPP_02381920_LONG,LONG,5,2024-07-11 01:23:00-05:00,,,1M_ONLY,,,
2024-07-11,OPP_02381977_SHORT,SHORT,1,2024-07-11 02:20:00-05:00,,,1M_ONLY,,,
2024-07-11,OPP_02381989_LONG,LONG,4,2024-07-11 02:32:00-05:00,2024-07-11 02:45:00-05:00,2024-07-11 02:50:00-05:00,SAME_OPPORTUNITY,,,
2024-07-11,OPP_02382046_SHORT,SHORT,5,2024-07-11 03:29:00-05:00,,,1M_ONLY,,,
2024-07-11,OPP_02382125_LONG,LONG,2,2024-07-11 04:48:00-05:00,,,1M_ONLY,,,
2024-07-11,OPP_02382150_SHORT,SHORT,4,2024-07-11 05:13:00-05:00,2024-07-11 05:10:00-05:00,2024-07-11 05:15:00-05:00,SAME_OPPORTUNITY,,,
2024-07-11,OPP_02382203_LONG,LONG,3,2024-07-11 06:06:00-05:00,2024-07-11 05:35:00-05:00,2024-07-11 05:50:00-05:00,SAME_OPPORTUNITY,,,
2024-07-11,OPP_02382272_SHORT,SHORT,1,2024-07-11 07:15:00-05:00,2024-07-11 06:20:00-05:00,2024-07-11 06:45:00-05:00,SAME_OPPORTUNITY,,,
2024-07-11,OPP_02382281_LONG,LONG,2,2024-07-11 07:24:00-05:00,,,1M_ONLY,,,
2024-07-11,OPP_02382305_SHORT,SHORT,3,2024-07-11 07:48:00-05:00,2024-07-11 07:50:00-05:00,2024-07-11 07:55:00-05:00,SAME_OPPORTUNITY,,,
2024-07-11,OPP_02382337_LONG,LONG,1,2024-07-11 08:20:00-05:00,,,1M_ONLY,,,
2024-07-11,OPP_02382357_SHORT,SHORT,2,2024-07-11 08:40:00-05:00,,,1M_ONLY,,,
2024-07-11,OPP_02382376_LONG,LONG,1,2024-07-11 08:59:00-05:00,,,1M_ONLY,,,
2024-07-11,OPP_02382389_SHORT,SHORT,10,2024-07-11 09:12:00-05:00,,,1M_ONLY,,,
2024-07-11,OPP_02382530_LONG,LONG,1,2024-07-11 11:33:00-05:00,,,1M_ONLY,,,
