window_id,entry_time_ct,signal_type,direction,expected_entry,expected_stop,expected_target,candidate_id,event_id,conflict_note
CONT_REV_CONFLICT,2018-12-20 17:30:00+00:00,RL,Long,6138.0,6109.829490235472,6208.426274411321,1184.0,A_MID_4_2018-12-20 10:30:00-06:00_Long,L+RL
CONT_REV_CONFLICT,2018-12-31 18:45:00+00:00,S,Short,6211.5946390807485,6225.774831196963,6169.054062732105,,MOMENTUM_DISPLACEMENT_2018-12-31 12:30:00-06:00_Short,S+RS
CONT_REV_CONFLICT,2018-12-31 18:45:00+00:00,RS,Short,6213.9696390807485,6228.149831196963,6178.519158790212,1216.0,A_MID_4_2018-12-31 11:30:00-06:00_Short,S+RS
CONT_REV_CONFLICT,2020-02-26 19:15:00+00:00,L,Long,8652.25,8612.937607584885,8770.187177245345,,MOMENTUM_DISPLACEMENT_2020-02-26 13:00:00-06:00_Long,L+RL
CONT_REV_CONFLICT,2020-02-26 19:15:00+00:00,RL,Long,8652.25,8612.937607584885,8750.530981037788,2232.0,A_MID_4_2020-02-26 12:30:00-06:00_Long,L+RL
ERA_2024,2024-01-02 16:15:00+00:00,L,Long,16547.404250572312,16520.950541229427,16626.76537860097,,MOMENTUM_DISPLACEMENT_2024-01-02 10:00:00-06:00_Long,
ERA_2024,2024-01-02 18:00:00+00:00,S,Short,16507.0,16531.217402772018,16434.34779168395,,MOMENTUM_DISPLACEMENT_2024-01-02 11:45:00-06:00_Short,
ERA_2025,2025-01-02 17:30:00+00:00,S,Short,19887.713004344696,19952.37690265842,19693.721309403525,,MOMENTUM_DISPLACEMENT_2025-01-02 11:15:00-06:00_Short,
ERA_2025,2025-01-02 20:15:00+00:00,L,Long,19908.0,19847.79526736244,20088.61419791268,,MOMENTUM_DISPLACEMENT_2025-01-02 14:00:00-06:00_Long,
ERA_2026,2026-01-02 15:45:00+00:00,L,Long,23214.5,23162.240926529812,23371.27722041056,,MOMENTUM_DISPLACEMENT_2026-01-02 09:30:00-06:00_Long,
ERA_2026,2026-01-02 18:15:00+00:00,RS,Short,23191.86528669418,23241.474019424415,23067.8434548686,7898.0,A_MID_4_2026-01-02 11:00:00-06:00_Short,
